name,line_name,longitude,latitude
Waterfront Station,Unknown,-123.1119479,49.2858835
Vancouver City Centre Station,Canada Line,-123.118727,49.282416
Broadway–City Hall Station,Canada Line,-123.114464,49.262901
Yaletown–Roundhouse Station,Canada Line,-123.121785,49.274474
King Edward Station,Canada Line,-123.115804,49.249259
Oakridge–41st Ave Station,Canada Line,-123.116668,49.23319
Langara–49th Ave Station,Canada Line,-123.116156,49.22632
Marine Drive Station,Canada Line,-123.117032,49.209626
Bridgeport Station,Canada Line,-123.126081,49.195584
Aberdeen Station,Canada Line,-123.136359,49.18397
Sea Island Centre Station,Canada Line,-123.158046,49.193079
YVR–Airport Station,Canada Line,-123.178446,49.194256
Lansdowne Station,Canada Line,-123.136514,49.17474
Richmond–Brighouse Station,Canada Line,-123.136282,49.168136
Olympic Village Station,Canada Line,-123.115655,49.266529
Templeton Station,Canada Line,-123.146469,49.19666
Capstan Station,Canada Line,-123.1318903,49.1891475
Braid Station,Expo Line,-122.882861,49.2334
Sapperton Station,Expo Line,-122.88942,49.224837
Main Street–Science World Station,Expo Line,-123.100048,49.273145
Stadium–Chinatown Station,Expo Line,-123.109102,49.279226
Commercial–Broadway Station,Expo Line and Millennium Line,-123.069249,49.262658
Columbia Station,Expo Line,-122.906094,49.204854
Scott Road Station,Expo Line,-122.874186,49.204485
Gateway Station,Expo Line,-122.850659,49.199058
Surrey Central Station,Expo Line,-122.847897,49.189648
New Westminster Station,Expo Line,-122.913515,49.201047
King George Station,Expo Line,-122.844742,49.182862
22nd Street Station,Expo Line,-122.948892,49.200072
Edmonds Station,Expo Line,-122.959266,49.21223
Royal Oak Station,Expo Line,-122.988396,49.220118
Metrotown Station,Expo Line,-123.003611,49.225697
Patterson Station,Expo Line,-123.012619,49.229778
Joyce–Collingwood Station,Expo Line,-123.031773,49.238452
29th Ave Station,Expo Line,-123.046186,49.244312
Nanaimo Station,Expo Line,-123.055797,49.248302
Burrard Station,Expo Line,-123.1195863,49.2853021
Granville Station,Expo Line,-123.1161375,49.2832725
Lougheed Town Centre Station,Millennium Line and Expo Line,-122.897197,49.248733
Production Way–University Station,Millennium Line and Expo Line,-122.918206,49.253486
Lake City Way Station,Millennium Line,-122.939134,49.254659
Gilmore Station,Millennium Line,-123.013514,49.265035
Sperling–Burnaby Lake Station,Millennium Line,-122.964208,49.259261
Brentwood Town Centre Station,Millennium Line,-123.001662,49.266481
Holdom Station,Millennium Line,-122.982375,49.264825
VCC–Clark Station,Millennium Line,-123.07905,49.265929
Renfrew Station,Millennium Line,-123.045244,49.258977
Rupert Station,Millennium Line,-123.032788,49.260831
Burquitlam Station,Millennium Line,-122.889949,49.261373
Moody Centre Station,Millennium Line,-122.84652,49.277973
Inlet Centre Station,Millennium Line,-122.827354,49.277065
Coquitlam Central Station,Millennium Line,-122.800721,49.274798
Lafarge Lake–Douglas Station,Millennium Line,-122.791501,49.285852
Lincoln Station,Millennium Line,-122.794233,49.280187
